roleid,name,description
e4b2930a-8351-4ff2-b8e9-039422c18a63,Sales Lead Research App User Role,
64bd1a30-2d0e-478f-be64-0396d1ac2551,EAC Reader App Access,
f5bfbbd1-8b31-4c1b-b8ce-03b7812fd9e2,Async ingestion,
33b4fc65-74f3-44c3-9ed6-03bb43b16be2,Shared Sms Channels Role,
85f7aa36-ae55-4c5c-81e2-03d7b63ff94d,Tour Consumer,
934a1529-c287-44a1-8bdd-0401386e4474,Knowledge Manager,
2add10bd-4095-4ece-ad5f-041fe703fe72,PCS Presales User,
731e0569-c06f-4c64-b37c-0424f532926b,Productivity tools administrator,
8c65222c-39f5-4f5e-8150-047b929f9379,Sync Skills,
e6d5febd-8634-43a2-8ac6-047c9218bc27,Copilot for Service User,
d8153dec-a49e-4eb2-9203-04837c30db7e,ContextualAIS2SRole,
8db0f377-3e27-4c26-85b1-04871ba9851c,Scheduler,
b2103fff-1c18-4b06-99d0-048776c44573,EAC App Access,
b3df68a2-4b31-48cf-92a5-049e7ba718e9,Playbook User,
6bc19581-8e2d-4c05-9757-053c9342876a,(Deprecated) Marketing Realtime Feature Configuration Administrator,
b8e96ba2-4720-4b9b-b63e-0574c0bccaf1,Help Page Consumer,
0554d800-58b9-4617-a20a-057d3463511f,Dataflow Maker,
f014d371-82c5-4107-98c5-057e58f03a25,Swarm collaborator,
34d239ed-e07f-41d0-a0f8-05b51b9b6353,CCaaSCTQDVWarmpathRole,
28d1a5ca-c22c-4f68-9f55-05bf1eea415d,DataLakeWorkspaceAppAccess,
6a68401f-e7e2-4f1d-966d-05f07523f376,Global Active Metrics Monitoring Alerting Custom Role,
340500cd-9520-46d7-af7e-05f0f1d0e509,Omnichannel API access,
7eec6f83-7c72-4ed0-8285-05f8b347cd84,Synapse Link Service Access,
29d3963d-4372-4893-aee9-062b83e0a470,Power Automate AI Flows Application User,
3d85b47b-710b-4b09-8d17-063c018eaada,Sustainability all - ingest - full access Role,
feb4159d-38ec-4638-a1f9-063dac939d79,Dataflow Maker,
43c153c9-0329-4efb-a881-0653536c100f,System Administrator,
f5cc4b97-0970-4d8a-9ddb-065dac708a03,Desktop Flows Module Developer,
ad1e225b-2902-4ab2-ae08-06b0d22f6574,Desktop Flows Module Developer,
e0bb0fa2-5fe7-4167-aeb7-06da5d18f88d,AIB SML Roles,
0df07e88-3880-4109-bfa5-06e97c80eb46,Customer Service Scheduler,
4a704576-2157-43f4-b89f-071eb6236985,Productivity tools user,
05f9a03f-5534-4b26-9bba-0726d33c6351,IoT - Endpoint User,
f9e36807-6398-4f42-8db9-0731a6fb9c8a,Global Active Metrics Monitoring Alerting Custom Role,
648a42e8-337e-4c60-8e2e-0739c88c2d2a,Vice President of Sales,
58ca57d3-d297-4017-b16f-07636e079b10,Fabric AI Skill Role,
3a3df5ca-989c-4cc7-9dc9-0784a6a86a79,Bulk Archival Role,
aac3f302-eaad-481f-aca0-0798f706aef0,Viva Sales,
5464d532-3129-4dc8-ac31-07cbf98fc2d8,Dynamics 365 App for Outlook User,
63731d90-a531-49b1-ad0b-07fade5d96b3,Customer Voice - Add on,
2b123b02-b602-4476-860d-07fd815d33e5,EAC Reader App Access,
4fbeef4b-a2e5-4b39-a09a-080bc0d11741,Bot Transcript Viewer,
ec74d486-e6e4-4a7b-8b52-081be5d4b362,Data Sync Framework Role,
22c19773-87db-42e1-b7f0-083de45c53a8,Sales Sequence Stats Service User,
a02ce532-4bab-4c76-a6e0-0843ab1105f5,Survey Services Administrator(Deprecated),
4c58a9bd-6c5b-46a5-ba79-08441f2179bb,Viva Sales,
ef140838-3468-4381-9135-087802bd8656,IntegratedSearchApp,
cfcb4ceb-6ac9-4488-8007-08b0cd30be1d,(Deprecated) Metadata Store Updater Service Role,
de3087ad-79f5-4f5f-80c0-08b18d745433,CEO-Business Manager,
f1861e46-90f2-40f2-9eaf-08b85bc96362,CCaaSCTQDVWarmpathRole,
a6b26169-19d8-4953-8d4e-08f0445afe4b,D365ChannelDefinitions Admin,
03d37aed-7bde-4dfe-8617-08fcf0f03a91,Copilot for Sales Integration User,
13c83cdf-bef1-48ab-bfbb-0912620bcdad,Marketing Professional,
f7cc715a-7b79-47e3-8ca2-094fb721e2d7,Paramount Support Admin,
15ad9836-4723-43f7-bac8-0987bb5947a2,Approvals Administrator,
b6296de4-7c2e-4306-a888-09899138abc8,AIB SML Roles,
f550a987-483f-4009-9611-09bf7d7a787b,App Deployment Orchestration Role,
6ac48af5-0c64-4c96-992c-09d30353ee65,ContextualAIS2SRole,
c45e076b-cba3-405b-bf71-09ffa7b51ac3,Export Customizations (Solution Checker),
a9fc2a21-686b-4b36-8503-0a26874dba8b,Sustainability BusinessUnit - ingest - full access Role,
a26e55a6-39d8-4734-8260-0a308cbff879,Desktop Flows Machine Application User,
acff2541-1a3a-4149-8fd9-0a80431d9cb1,CSR Manager,
2db398c7-fa20-4ea1-ad35-0abfbfd51f3f,DataLakeWorkspaceAppAccess,
f75f4034-068a-463c-ba85-0ae80ad5aecd,Flow-RP Role,
51cfd419-75fc-461a-b11b-0af890c17a45,PCS Sales Manager,
e9a54b07-f763-45a1-88e7-0b67bbe18cf2,Power Policy App User Role,
6e9b40ae-c648-4d65-bfb1-0b82c9848871,EAC Reader App Access,
c36e99a2-12fd-4055-8e0f-0b87c511892b,Service Reader,
3cece453-0cda-4b3b-9ae5-0ba0480906ed,Solution Checker,
193ff68e-e4ca-49df-9119-0be123e0bf01,Channel Access,
8f2a20af-bd0d-4ee4-9304-0be18f5ed75b,Basic User,
f6d86f68-0cd3-4856-92b0-0bfa809b43fb,Sustainability all - ingest - full access Role,
a75dc31e-441c-49de-a3fd-0c2219e3d2d6,Desktop Flows Machine Owner,
f7d19e50-ac6c-4e46-b143-0c3d9f0b35ea,CCaaSCTQDVWarmpathRole,
4a378ba3-9d3c-40c6-8833-0c4f38b35375,Power BI Embedded App Access,
fba8ec09-7061-419f-8d0c-0c6508138817,Desktop Flows Runtime Application User,
e7476ccc-dc78-470a-b32e-0c8414717a74,D365ChannelDefinitions User,
12abf4cd-20a9-477c-955d-0c940b3884b9,AISalesperson,The role defines privileges for the Sales agent application. This role can't be assigned to a user or team.
bd4230d7-5d05-45c1-8e8a-0cae9928507b,Customer Service Schedule Administrator,
1edd158d-478b-4f04-845a-0cb683936382,Customer Service Representative,
dc811131-1dd5-4887-bff0-0cd6547b24e9,Scheduler,
da0014ee-8a55-4afb-a20e-0d11f9ac48a1,Sustainability BusinessUnit - full access Role,
cdb34201-c2a7-4bbb-be01-0db463f49b0a,Omnichannel CDS Flush Role,
9d6766f7-8d6e-4f53-8ed4-0e16f35e7dda,Sales Team Member,
6a6074ee-5fe2-403b-af04-0ecd054bae5b,System Administrator,
010177c4-9e54-47c9-ba19-0f0886b8d925,Support User,
197db10b-c44b-403b-8ecb-0f1bef2dcc9b,CCA Analytics App,
36b3a0cb-11eb-4639-aa62-0f439fa8d1a6,Bot Author,
1b090b9d-43a9-4975-a010-0f50abac8d25,Desktop Flows Runtime Application User,
c25fc073-ba12-4baf-ba7b-0fb6d6ba3bfd,Portal Application User,
58ba093a-585e-4058-918a-0fbdc756a5fa,Tour Author,
4280aa18-2ef4-4210-ab6f-0fe018f2d963,Solution Checker,
ba6b5e8c-ac0e-4012-9ad0-101643b0688c,Deflection Service Role,
60b66ae1-fd75-44ca-b494-10169bb07998,Global Active Metrics Monitoring Alerting Custom Role,
8feb42e5-49f3-4d13-bf5d-105196cc2521,Paramount MSS PMO/QA,
ab8ebd98-3c9e-4591-a212-105bc215b6b8,Survey Services Administrator(Deprecated),
97cf2300-ca63-4fde-ab2c-106a01b861b4,Paramount Support Associate,
f1e51c3f-f46c-44f9-b4e4-10804d73dc40,Omnichannel supervisor,
c191adfa-bbb4-441b-9846-10a4f853fecb,Relationship Insights Admin,
22425cea-eebe-4116-b0be-10a69cfeeab9,Playbook Manager,
63a11df9-449d-4945-bb1d-10b50c7b222a,ContextualAIS2SRole,
fd81b29e-97e8-4263-a5c6-110991e03eb9,PCS BU Manager - Country Level,
29bf3d97-b4a9-4e89-8fc8-111b36b5665c,Analytics Report Author,
a650886a-a914-4f42-97ac-1120e4968e00,Flow-CDS Native Connector Role,
ba60eb02-6cbe-437c-a196-1151a8bd07df,Sales Lead Research App User Role,The role defines privileges for the Sales Lead Research application. This role can't be assigned to a user or team.
58c8cfbe-c973-4f5a-a5f6-1156189917b7,SalesInsights AutoCapture Admin,
f94be5bc-ad89-4ebe-a5dd-1174b256988d,Global Discovery Service Role,
5331bb19-b0a3-4d47-828c-117f1c5b7f55,Survey Services Administrator(Deprecated),
820d062b-2635-4ad1-8874-11a697193057,Synapse Link Service Access,
85ee6391-ce55-4261-b601-11d38b8ef47c,Cxp Dataverse Datasource Services User,
e632d993-428d-4896-a150-11deb55ab398,Federated Knowledge Role,
48460752-68a6-45bd-9619-1204234c26d4,(Deprecated) Metadata Store Updater Service Role,
6e3f38b3-b1f6-453e-8eb3-1227e1ee6258,Paramount MSS Analyst,
62c5bcaa-64f7-42d2-811b-124665d45eb7,App Opener,
7fbf0cd9-d3d5-41ea-868b-1255a32f3743,FileStoreService App Access,
6461279a-fa9a-496e-b717-12650032f355,Customer Service Schedule Administrator,
4e3fbb40-4630-4fe6-8ead-12b1be0c707d,Customer service app access,
7abc8cf7-fc5e-43fa-870d-132d39c5a2c8,Forecast user,
e6d952c0-86d3-4734-9818-1336392e77c5,SuggestedActionS2SRole,
bcf3d5c4-9fda-4235-8578-13947c2a6b2d,Vice President of Sales,
5c6b4727-6811-4b63-8848-13b6002a7935,Dataverse Search Role,
e0c345b9-2449-43e5-873c-13b607f90fce,(Deprecated) Metadata Store Reader,
df713452-bdc6-47b3-a111-13c2ee8f1161,Cxp Personalization Services User,
db1999f8-102a-453f-a383-13c8c6a3739a,Sales system access,
de2e95f7-a05c-4138-a4df-13dcbc54187b,(Deprecated) Metadata Store Reader,
e57f788c-0e89-4b6d-9226-13e0fcca6125,Bot Contributor,
fe775034-d743-4b48-adf1-13eef1d93ac2,(Deprecated) Metadata Store Updater Service Role,
f0e3a606-3ee5-4b9a-9ca9-1415305cd62d,(Deprecated) Marketing Realtime Feature Configuration Services User,
eede79c6-de1e-4ac6-ba39-142e72a35dad,BusinessApplicationPlatformRole,
3b9a674d-504d-4638-a999-143ed6f2d83c,DataProcessingConfigTableAppAccess,
4cf66d80-aa75-4478-b39c-1445369047cf,Export Customizations (Solution Checker),
745cdeef-ac2e-40af-8904-1450add4d438,Customer Service Representative,
2b1a8397-8114-4b8d-9e71-146b1287f4d1,Purview Label Role,
df1a0f5f-7abf-4285-9bb5-14a983ade3eb,Sustainability BusinessUnit - full access Role,
eb5d29dc-a802-4fcc-b479-1518bf980acd,Power Policy App User Role,
26743491-23f9-4a24-8298-151fa8e9d419,Portal Application User,
da35aace-58b1-4c23-a267-152cd72a9aee,Desktop Flow Machine Configuration Admin,
ea75869c-f786-41e8-9701-15381c7ecd92,Global Discovery Service Role,
206f8741-e776-411f-ae25-153f677a35fa,Sales Lead Research App User Role,
5266f166-27c7-4873-a5a2-1545576a1840,Power BI workspace contributor,
6fd71d2d-00cf-42fc-899d-155b7fca8557,Relationship Insights Admin,
896571cc-9154-4487-93d3-159a69bbc97b,Copilot for Sales Integration User,
4426efb4-8a1a-44ec-b251-159d44305ef1,PowerAppsRPRole,
4ecd5543-4e8c-4a83-a51b-15a59cf908b5,Sustainability all - full access Role,
ca749855-b14e-4b39-8a98-15b677cf25f2,SalesInsights AutoCapture Admin,
d1010dfb-d452-4e61-9c74-15e0bf86a49c,SalesInsights AutoCapture Admin,
489bfd3f-0b9c-401b-90e0-15ed1e9d8300,Export Customizations (Solution Checker),
3f6b118f-74ae-4763-9ea4-15f3780cbab4,Playbook User,
daeea874-1398-4411-a021-16982e136d76,Sales Sequence Stats Service User,
b684093f-833a-4d35-8b3e-16be2da1c7f7,Desktop Flows Machine User Can Share,
d24d1d62-f859-49ff-b7cf-16bfbbee729c,Sales Conversation Intelligence Data Owner,
287d8e30-75ab-4354-b05d-16f4d39c056f,Data Sync Service Role,
a9093c73-17bf-46da-aa76-171518463e66,(Deprecated) Marketing Realtime Feature Configuration Reader,
eacaad76-1ba2-46db-ae17-171532180002,Support User,
112e77de-2cd8-4b29-91a5-1752921f4b75,Omnichannel Messaging Platform Role,
0677182b-45d3-4a2f-a4f7-176d5db58a60,Sync Skills,
6bda4505-d866-4658-b973-179affe1bb56,Vice President of Marketing,
c9e5919a-b5e4-431d-9051-17aa00cd3b34,Paramount MSS Shift Lead,
48e4edae-db54-4d70-ad3f-17dbb67b3a90,EAC App Access,
818b5c2f-fde3-4675-a9c9-17ebfbe74197,CCA Analytics App,
c78a54bc-081c-4092-927a-180d2545c87d,Federated Knowledge Role,
c7bbcdd9-e200-476d-81e4-1814d289f67c,Email engagement app user role,
ce511ccd-08d2-4b42-99bc-18162c7eb5f8,Power Automate AI Flows Application User,
a4db9de7-3eca-4ff0-b75e-181ee31d8788,Viva Sales,
875a8fa1-c055-496a-97f5-1829446cb914,Desktop Flows Machine User,
ddf5d88c-ffdd-499c-a96d-182aad081b87,Fabric AI Skill Role,
e9769200-6702-470e-9a77-189d7e099f25,Project Background Services App Role,
93d8d8a2-a749-4ec5-b13b-18b6e2050483,Service Deleter,
0ee86298-1f6b-4904-ad90-18b7c69e2220,Customer service app access,
bfaabf49-1f2f-4a63-a83a-18ce3018f508,PowerPlatformInsightsRole,
948ecd02-3ab5-491a-ac5b-18da7d504619,Sales Who Knows Whom Search Admin,
789ac28c-86be-42a4-a099-195126a66340,Report Service Role,
09686f40-772a-42d8-98ca-199483b1b275,CCA Analytics App,
79e2682f-5a30-4d32-bfe5-19afa96532aa,RPE Role,
236e4072-f024-43fc-8956-19d17b493303,Vice President of Sales,
ccc93855-dc13-45e7-be7c-19d267d8d713,Power BI workspace viewer,
d2a6275b-73f4-470e-9600-1a3cf2af0244,Power BI workspace admin,
454e4da4-ef65-40bd-a797-1a5a6a80f2ee,Scheduler,
d9488b69-9ed9-42d9-8d57-1a5d67aac512,Purview Label Role,
ab07de09-78cc-431c-b5dc-1a745f7c388e,Paramount Support Associate,
103b66e0-02ad-4e26-9c09-1a790c606c09,Support User,
358abb48-0200-47ca-a35f-1a83050b01f8,Power Platform Dataflows Service Role,
1391a7cc-6eba-424b-be9b-1a91713945cc,Schedule Manager,
795b71b4-a1e3-4c82-b21e-1aff5b7e273b,Field Service - Dispatcher,
1755e2eb-7ff0-4366-a4c5-1b26a01a31be,PowerPlatformInsightsRole,
75a8f333-88d4-475c-af82-1b2fca701920,Sales Work Assignment API Access,
c09c0153-9f73-41d8-9cee-1ba0c24bbbd8,PCS Business Development Manager,
eb80d734-79f0-4e04-aef5-1bcec7d4d4c3,Copilot for Service Administrator,
3c3bbe56-b030-4c48-8c75-1bd07fbb4a4d,System Customizer,
8e1b95e9-52eb-42bf-ad04-1bde6be846de,Sync Skills,
bbd09647-5762-4717-95b5-1c4413b5fa1e,Marketing Professional,
22a39a10-2b55-42af-ae44-1c5097fa9de1,PCS BU Manager - Country Level,
a7ed136d-d7b1-470e-85b8-1cdc22cf3151,Vice President of Marketing,
30750980-9d81-4f41-8638-1cf2a7188a8b,DataLakeFolderEntityContributor,
787e4a6c-6537-405b-aae3-1d23809893b2,Sales Sequence Stats Reporting Service User,
2fc98b95-c64c-44f4-b2e7-1d25ed945503,Office Collaborator,
e99394f9-75b2-44f1-a057-1d3543aa9f1f,PCS Renewal Sales,
8d6c47a8-4022-4e04-bdcc-1d3c7a248611,Paramount Support BU Manager,
95619a84-8271-4243-9fa3-1d4023df6e01,Cxp Dataverse Datasource Services User,
86d2e1ea-2bde-481c-94b3-1d58d1636145,Sales Work Assignment API Access,
66eac557-984c-4e18-9c9a-1d5a6a504cff,Sales Work Assignment API Extended Access,
8f947525-ce12-404a-abf3-1d70cbe4a707,Cards Role,
bb69f264-582a-458c-bcf3-1d827700af37,Power Platform Data Analytics Role,
ee18dcf2-6f83-4cd7-aa5c-1d8a88947d51,Desktop Flows Machine User Can Share,
b2bab004-334a-43b1-847a-1d92218d7678,Power BI workspace admin,
be1cddbf-24a0-42fa-91cc-1d9dfc4686b4,(Deprecated) Metadata Store Reader,
0e282931-3a54-47ba-b9f2-1db5f4a890f7,Sales Work Assignment API Extended Access,
db173917-851a-415c-afd9-1dbc7fd6f6e1,Power Platform Data Analytics Role,
4108c650-5a48-418c-a41c-1dfc60f1683e,Paramount MSS Shift Lead,
e8896463-5270-495a-8a84-1e0bb354c180,Cxp Dataverse Datasource Services User,
c5ade55a-6b5f-4532-a16f-1e2233115596,Sales Copilot User,
ef928519-3e5a-4b0f-8f7b-1e2ea51c70bc,ContextualAIS2SRole,
e28b6159-0931-4352-9c99-1e3e3704394e,Sales Work Assignment API Extended Access,
afad7280-bb51-4ef5-9763-1ea0b2ad4b1c,Marketing Professional,
794b3645-f248-423e-b931-1ec78bde66b2,PCS Renewal Sales,
c35491f6-5747-42b6-8cfc-1ed6c2f4cc46,Non-Relational Data App Access,
eee3d707-ff59-4bde-a353-1eefca406d74,Sales Lead Research App User Role,
dae6a9a3-e83b-4950-8437-1f16964e7c9f,Paramount MSS Engineer,
9413800a-c463-4f93-982e-1f47f33b0316,Cards Basic Role,
1cf2ae8e-22a4-4c1a-8999-1f686c3cbb5a,Copilot for Sales Integration User,
e63ff6c3-6d26-4ea7-9417-1f8a1f931b6a,Data Sync Service Role,
6e33f75d-802e-4d79-b9e7-1fcdd2b3122e,RPE Role,
2e120000-637e-46b9-a70d-1fe8cebb974b,Portal Application User,
a79dce0a-d4de-40a6-8a55-20394752fc9b,SalesInsights AutoCapture Admin,
0e898866-33ce-4cc9-8449-208562d75f39,Bulk Archival Role,
381345fb-03e7-4e02-9790-208a9432b813,Desktop Flow Machine Configuration Admin,
d1e26702-a026-4b01-9909-20dd78499f0f,Purview Label Role,
1604993b-5e76-4f9c-a87f-210685e3d220,Service Writer,
16b56d41-6782-464c-956b-212794aa8670,Global Active Metrics Monitoring Alerting Custom Role,
f1b4fe31-ad0d-4948-8a52-215277e00808,PCS BU Manager - Country Level,
4174e3f7-c330-4312-9443-2194f502d08b,Power BI workspace viewer,
8496c217-fb0e-424b-ad74-21b016904861,Sync Permissions,
81c94be4-a734-40c7-8737-21edbf722604,Sustainability BusinessUnit - ingest - full access Role,
c0343d07-db07-4fdf-a8cd-220194ec7234,Power Automate AI Flows Application User,
1e62c30d-24b5-4fee-879a-220d94d7be22,Process Mining Application,
346e6522-f778-4fee-90ff-2217d077f628,Sync Permissions,
50143379-5881-4e86-99a5-2246040d46ab,Sales Who Knows Whom Search Admin,
53a38423-fb6d-447b-9c9e-22657d3261d3,Synapse Link Service Access,
e94f2257-92be-48b3-bc66-2279e0e68675,Sync Permissions,
9bcfc17c-b5e0-4049-8e46-22dc8d6a8d5d,(Deprecated) Marketing Realtime Feature Configuration Administrator,
060a3f14-a531-4214-a30f-22ef4c5838ce,Cxp Dataverse Datasource Services User,
89fbbea7-7a4f-43eb-9962-2329f1cf5cff,VA Analytics Role,
c30fe3f0-8510-4ced-9665-234e17bb097f,IntegratedSearchApp,
af00bad8-6823-4927-b113-2353a11ffe6a,Customer Service Representative,
f983b038-0939-407d-95d2-23829d7ca517,Copilot for Service Administrator,
3be5861d-2aec-48ca-acc0-23872ad62ea8,Power BI workspace viewer,
18bfccad-a17f-4a63-a0b4-239b1713a4d9,PowerPlatformInsightsRole,
212a014d-2e66-443b-af53-23d3546382b3,Paramount MSS PMO/QA,
dd582b7b-f0e3-4634-9664-23dfc277b9cf,Support User,
bb559946-6335-4558-80d8-23e4e7f2bb06,Desktop Flows Machine Owner,
2f82de00-1fcb-49c6-8c02-240404aa5996,ContextualAIS2SRole,
8be3e3ca-a304-451f-9dc1-2478d224ea0e,Flow-CDS Native Connector Role,
67a41b0a-30f7-4454-a49d-24817d1b8821,CEO-Business Manager,
f9e46d0f-d53e-4d5c-b06b-24948b4606ed,Cards Role,
9caab2d9-a34c-4097-8cb1-24cbd7479640,Omnichannel Messaging Platform Role,
6f6bec8d-5dd6-4cbf-b7a8-2504af902b6b,Process Mining Application,
d9a9727f-89a3-4458-a0f4-2505c1b0d026,Office Collaborator,
43a8e461-0c37-45b3-b09b-2524e2046d2b,Sales Sequence Stats Service User,
9a7f10ea-5001-4e83-91b0-253b14a775fb,Forecast user,
